Data;CAlg;Subp;Num.Trcs;Num.Act;Num.Evt;DAlg;Fitn;Prec;Gen;Size;NumTrans;ACD;CFC;CNC;Density;Time.HierAct;Time.Hierlog;Time.Dalg;Time.quality;t/o fit;t/o gen
Kidney17;DK;root;140;15;1438;SM;0.7220945344489857;0.7709023344139914;0.6762436045847995;54;15;3.0454545454545454;28;1.2037037037037037;0.022711390635918937;2594;29081;1159;7636;false;false;
Kidney17;DK;root;140;15;1438;IMf;0.9156783619164244;0.43961417216886134;0.5891100028930447;55;13;3.3529411764705883;22;1.2;0.022222222222222223;2594;29081;417;9795;false;false;
Kidney17;DK;root;140;15;1438;IM;1.0;0.19333374377383677;0.3514897029535458;67;15;3.6551724137931036;41;1.3432835820895523;0.0203527815468114;2594;29081;139;13822;false;false;
Kidney17;DK;_Laboratoria;140;11;759;SM;0.8932040982502951;0.9506159750457015;0.8484282623822587;36;11;3.3076923076923075;22;1.2222222222222223;0.03492063492063492;2594;29081;47;1429;false;false;
Kidney17;DK;_Laboratoria;140;11;759;IMf;0.9319758079064699;0.627932339389017;0.8808702716312681;40;10;3.235294117647059;24;1.25;0.03205128205128205;2594;29081;20;881;false;false;
Kidney17;DK;_Laboratoria;140;11;759;IM;1.0;0.44428638100148365;0.6160901495168476;43;11;3.588235294117647;27;1.302325581395349;0.031007751937984496;2594;29081;49;4474;false;false;
Kidney17;DK;_Paramed.functies;17;6;30;SM;1.0;1.0;1.0;12;6;3.3333333333333335;5;1.1666666666666667;0.10606060606060606;2594;29081;10;280;false;false;
Kidney17;DK;_Paramed.functies;17;6;30;IMf;1.0;1.0;1.0;12;6;3.3333333333333335;5;1.1666666666666667;0.10606060606060606;2594;29081;1;252;false;false;
Kidney17;DK;_Paramed.functies;17;6;30;IM;1.0;1.0;0.8333333333333334;12;6;3.3333333333333335;5;1.1666666666666667;0.10606060606060606;2594;29081;2;209;false;false;
Kidney17;DK;_Overige activiteiten;112;4;253;SM;0.9260726220312687;1.0;0.9646075109925756;11;4;2.75;6;1.0909090909090908;0.10909090909090909;2594;29081;12;335;false;true;
Kidney17;DK;_Overige activiteiten;112;4;253;IMf;0.9383074501730518;0.94838203220262;0.9425051316017878;16;4;2.8333333333333335;8;1.125;0.075;2594;29081;8;266;false;false;
Kidney17;DK;_Overige activiteiten;112;4;253;IM;1.0;0.7007653463007442;0.8227894697742943;19;4;3.3333333333333335;13;1.263157894736842;0.07017543859649122;2594;29081;10;446;false;false;
Kidney17;DK;_Andere ondersteunende functies;115;6;350;SM;0.8048952653998814;1.0;0.5975723412505981;15;6;3.0;9;1.2;0.08571428571428572;2594;29081;20;308;false;false;
Kidney17;DK;_Andere ondersteunende functies;115;6;350;IMf;0.882040182916061;0.9437292462228126;0.9099460684618753;22;6;3.0;13;1.1818181818181819;0.05627705627705628;2594;29081;6;282;false;false;
Kidney17;DK;_Andere ondersteunende functies;115;6;350;IM;1.0;0.581975445112108;0.6697506551656933;29;6;3.142857142857143;20;1.2413793103448276;0.04433497536945813;2594;29081;14;387;false;false;
Kidney17;DK;_Kontakten;140;10;833;SM;0.7428897178522494;0.9085281980742779;0.8218185481311692;30;10;3.6923076923076925;16;1.3333333333333333;0.04597701149425287;2594;29081;24;889;false;false;
Kidney17;DK;_Kontakten;140;10;833;IMf;0.8987721226492864;0.5686802526514613;0.6294280920793994;36;10;3.6923076923076925;20;1.2777777777777777;0.03650793650793651;2594;29081;13;2365;false;false;
Kidney17;DK;_Kontakten;140;10;833;IM;1.0;0.3430979301079439;0.574680875450169;53;10;3.28;34;1.2830188679245282;0.02467343976777939;2594;29081;18;2626;false;false;
Kidney17;DK;_Medische verrichtingen;115;8;365;SM;0.4634058089129313;0.5178571428571428;0.7300807216902082;40;8;3.5416666666666665;29;1.45;0.03717948717948718;2594;29081;30;730;false;false;
Kidney17;DK;_Medische verrichtingen;115;8;365;IMf;0.8915780461017035;0.7133638218988738;0.8358228379695022;32;7;3.2857142857142856;20;1.25;0.04032258064516129;2594;29081;8;771;false;false;
Kidney17;DK;_Medische verrichtingen;115;8;365;IM;1.0;0.4541549668958208;0.5512363539132944;33;8;3.6;23;1.3333333333333333;0.041666666666666664;2594;29081;11;1041;false;false;
Kidney17;DK;_Radiologie en Nucl. Geneeskunde;111;4;227;SM;0.9454722101780926;1.0;0.9175774582011775;9;4;3.5;4;1.1111111111111112;0.1388888888888889;2594;29081;11;336;false;false;
Kidney17;DK;_Radiologie en Nucl. Geneeskunde;111;4;227;IMf;0.9532045414398358;1.0;0.9749791938692866;11;4;3.0;5;1.0909090909090908;0.10909090909090909;2594;29081;2;279;false;false;
Kidney17;DK;_Radiologie en Nucl. Geneeskunde;111;4;227;IM;1.0;0.6725242915236201;0.7874743660293989;19;4;3.3333333333333335;13;1.263157894736842;0.07017543859649122;2594;29081;5;404;false;false;
Kidney17;DK;_Andere ziekenhuis functies;1;1;1;SM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;1;59;false;false;
Kidney17;DK;_Andere ziekenhuis functies;1;1;1;IMf;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;0;29;false;false;
Kidney17;DK;_Andere ziekenhuis functies;1;1;1;IM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;0;28;false;false;
Kidney17;DK;_Laboratoria_Klin.chemie;140;8;536;SM;0.9722488904817824;0.9955951653183691;0.8916338849112347;22;8;3.6666666666666665;11;1.1818181818181819;0.05627705627705628;2594;29081;30;3009;false;false;
Kidney17;DK;_Laboratoria_Klin.chemie;140;8;536;IMf;0.9601407457110223;0.904228056641001;0.9285530660738471;32;8;3.0;19;1.1875;0.038306451612903226;2594;29081;11;405;false;false;
Kidney17;DK;_Laboratoria_Klin.chemie;140;8;536;IM;1.0;0.4777736124946066;0.7120316673504936;40;8;3.2222222222222223;24;1.25;0.03205128205128205;2594;29081;13;799;false;false;
Kidney17;DK;_Laboratoria_Bloedbank;87;10;296;SM;0.6918093823412582;0.6795350001506701;0.5473507546272676;48;10;4.037037037037037;33;1.5625;0.03324468085106383;2594;29081;37;1064;false;false;
Kidney17;DK;_Laboratoria_Bloedbank;87;10;296;IMf;0.9513656267104545;0.7700495948876811;0.82341054074219;36;9;3.0;22;1.2222222222222223;0.03492063492063492;2594;29081;12;751;false;false;
Kidney17;DK;_Laboratoria_Bloedbank;87;10;296;IM;1.0;0.4045622717662887;0.568951300399929;51;10;3.1923076923076925;37;1.2941176470588236;0.02588235294117647;2594;29081;25;1475;false;false;
Kidney17;DK;_Laboratoria_Apotheek;25;9;50;SM;0.9771428571428571;0.9741417579165434;0.91844992046741;25;9;4.0;14;1.28;0.05333333333333334;2594;29081;25;348;false;false;
Kidney17;DK;_Laboratoria_Apotheek;25;9;50;IMf;0.9638095238095237;1.0;0.8790329959019152;20;9;4.0;12;1.3;0.06842105263157895;2594;29081;4;331;false;false;
Kidney17;DK;_Laboratoria_Apotheek;25;9;50;IM;1.0;0.9143753091936231;0.8613845915254618;22;9;4.285714285714286;15;1.3636363636363635;0.06493506493506493;2594;29081;2;255;false;false;
Kidney17;DK;_Laboratoria_Mmi;119;12;466;SM;0.7780836019302589;0.9883308914685;0.7455404741664117;45;12;3.2916666666666665;31;1.3333333333333333;0.030303030303030304;2594;29081;31;1578;false;false;
Kidney17;DK;_Laboratoria_Mmi;119;12;466;IMf;0.7976910764305726;0.8499782927565698;0.8208342360949508;36;12;3.5384615384615383;23;1.2777777777777777;0.03650793650793651;2594;29081;12;1145;false;false;
Kidney17;DK;_Laboratoria_Mmi;119;12;466;IM;1.0;0.22487607883246163;0.3972981943079095;55;12;3.5714285714285716;40;1.3818181818181818;0.02558922558922559;2594;29081;24;4229;false;false;
Kidney17;DK;_Laboratoria_Pathologie;24;2;35;SM;1.0;1.0;0.9712643678160919;6;2;2.5;3;1.0;0.2;2594;29081;5;268;false;false;
Kidney17;DK;_Laboratoria_Pathologie;24;2;35;IMf;1.0;1.0;1.0;6;2;2.5;3;1.0;0.2;2594;29081;0;389;false;false;
Kidney17;DK;_Laboratoria_Pathologie;24;2;35;IM;1.0;1.0;1.0;6;2;2.5;3;1.0;0.2;2594;29081;1;323;false;false;
Kidney17;DK;_Laboratoria_Externe productie;1;1;1;SM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;2;33;false;false;
Kidney17;DK;_Laboratoria_Externe productie;1;1;1;IMf;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;0;37;false;false;
Kidney17;DK;_Laboratoria_Externe productie;1;1;1;IM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;0;45;false;false;
Kidney17;DK;_Paramed.functies_Revalidatie;13;2;22;SM;0.9316239316239316;1.0;0.9605128205128205;5;2;NaN;0;0.8;0.2;2594;29081;3;301;false;false;
Kidney17;DK;_Paramed.functies_Revalidatie;13;2;22;IMf;1.0;1.0;1.0;6;2;2.5;3;1.0;0.2;2594;29081;0;257;false;false;
Kidney17;DK;_Paramed.functies_Revalidatie;13;2;22;IM;1.0;1.0;1.0;6;2;2.5;3;1.0;0.2;2594;29081;0;349;false;false;
Kidney17;DK;_Paramed.functies_Logopedie;2;4;7;SM;1.0;1.0;0.9240812379110251;10;4;2.5;3;1.0;0.1111111111111111;2594;29081;10;229;false;false;
Kidney17;DK;_Paramed.functies_Logopedie;2;4;7;IMf;1.0;1.0;0.9240812379110251;10;4;2.5;3;1.0;0.1111111111111111;2594;29081;0;244;false;false;
Kidney17;DK;_Paramed.functies_Logopedie;2;4;7;IM;1.0;1.0;0.9240812379110251;10;4;2.5;3;1.0;0.1111111111111111;2594;29081;0;196;false;false;
Kidney17;DK;_Paramed.functies_Fysiotherapie;2;2;4;SM;1.0;1.0;1.0;5;2;NaN;0;0.8;0.2;2594;29081;3;260;false;false;
Kidney17;DK;_Paramed.functies_Fysiotherapie;2;2;4;IMf;1.0;1.0;1.0;5;2;NaN;0;0.8;0.2;2594;29081;0;222;false;false;
Kidney17;DK;_Paramed.functies_Fysiotherapie;2;2;4;IM;1.0;1.0;1.0;5;2;NaN;0;0.8;0.2;2594;29081;0;193;false;false;
Kidney17;DK;_Overige activiteiten_Telcodes tijdsbeslag;107;5;335;SM;0.7989823170643976;0.9497663551401869;0.9179749224075435;15;5;2.75;5;1.0666666666666667;0.0761904761904762;2594;29081;11;367;false;true;
Kidney17;DK;_Overige activiteiten_Telcodes tijdsbeslag;107;5;335;IMf;0.9737618071867662;0.9215060741513473;0.9344101091580533;20;5;3.125;12;1.2;0.06315789473684211;2594;29081;3;404;false;false;
Kidney17;DK;_Overige activiteiten_Telcodes tijdsbeslag;107;5;335;IM;1.0;0.538112589900513;0.7479451556066662;26;5;3.272727272727273;15;1.2307692307692308;0.04923076923076923;2594;29081;13;344;false;false;
Kidney17;DK;_Overige activiteiten_Telcodes geen tijdsbeslag;35;4;46;SM;1.0;1.0;0.9803921568627452;9;4;2.6666666666666665;4;1.1111111111111112;0.1388888888888889;2594;29081;7;273;false;false;
Kidney17;DK;_Overige activiteiten_Telcodes geen tijdsbeslag;35;4;46;IMf;1.0;1.0;0.9824561403508771;9;4;2.6666666666666665;4;1.1111111111111112;0.1388888888888889;2594;29081;1;280;false;false;
Kidney17;DK;_Overige activiteiten_Telcodes geen tijdsbeslag;35;4;46;IM;1.0;1.0;0.989247311827957;9;4;2.6666666666666665;4;1.1111111111111112;0.1388888888888889;2594;29081;1;267;false;false;
Kidney17;DK;_Andere ondersteunende functies_Med. maatschappelijk werk;81;4;151;SM;0.8954858854956319;1.0;0.9454490366122217;9;4;3.0;5;1.1111111111111112;0.1388888888888889;2594;29081;11;376;false;false;
Kidney17;DK;_Andere ondersteunende functies_Med. maatschappelijk werk;81;4;151;IMf;1.0;0.8279444444444445;0.9152727827896289;17;4;2.875;11;1.1764705882352942;0.07352941176470588;2594;29081;3;312;false;false;
Kidney17;DK;_Andere ondersteunende functies_Med. maatschappelijk werk;81;4;151;IM;1.0;0.8279444444444445;0.9234399800698424;17;4;2.875;11;1.1764705882352942;0.07352941176470588;2594;29081;2;306;false;false;
Kidney17;DK;_Andere ondersteunende functies_Dietetiek;109;2;206;SM;0.9755351681957185;1.0;0.9876998157329081;5;2;NaN;0;0.8;0.2;2594;29081;3;258;false;false;
Kidney17;DK;_Andere ondersteunende functies_Dietetiek;109;2;206;IMf;0.9755351681957185;1.0;0.9876236454151766;5;2;NaN;0;0.8;0.2;2594;29081;1;296;false;false;
Kidney17;DK;_Andere ondersteunende functies_Dietetiek;109;2;206;IM;1.0;1.0;1.0;6;2;2.5;3;1.0;0.2;2594;29081;2;282;false;false;
Kidney17;DK;_Andere ondersteunende functies_Ov. ondersteunende therapie;1;1;1;SM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;3;59;false;false;
Kidney17;DK;_Andere ondersteunende functies_Ov. ondersteunende therapie;1;1;1;IMf;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;0;36;false;false;
Kidney17;DK;_Andere ondersteunende functies_Ov. ondersteunende therapie;1;1;1;IM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;2594;29081;0;62;false;false;
Kidney17;DK;_Andere ondersteunende functies_Psychologie;3;2;3;SM;1.0;1.0;0.6666666666666666;4;2;2.0;2;1.0;0.3333333333333333;2594;29081;7;335;false;false;
Kidney17;DK;_Andere ondersteunende functies_Psychologie;3;2;3;IMf;1.0;1.0;0.6666666666666666;4;2;2.0;2;1.0;0.3333333333333333;2594;29081;0;286;false;false;
Kidney17;DK;_Andere ondersteunende functies_Psychologie;3;2;3;IM;1.0;1.0;0.6666666666666666;4;2;2.0;2;1.0;0.3333333333333333;2594;29081;0;282;false;false;
Kidney17;DK;_Kontakten_Totaal consulten;140;4;498;SM;0.8315794712533844;1.0;0.9147222258208996;9;4;NaN;0;0.8888888888888888;0.1111111111111111;2594;29081;7;355;false;false;
